ts,type,side,price_ticks,qty,id
1784862981428325850,add,sell,653296,110000,9614
1784862981428456837,cancel,sell,653297,0,9610
1784862981428456837,add,sell,653297,30591,9615
1784862981428456837,cancel,sell,653296,0,9614
1784862981428456837,add,sell,653296,110090,9616
1784862981429489661,cancel,sell,653296,0,9616
1784862981429489661,add,sell,653296,110000,9617
1784862981429489661,add,sell,653295,90,9618
1784862981505549972,cancel,sell,653296,0,9617
1784862981505549972,cancel,sell,653427,0,9549
1784862981505549972,add,sell,653427,30608,9619
1784862981509018465,cancel,sell,653295,0,9618
1784862981509018465,cancel,sell,653432,0,9551
1784862981509018465,add,sell,653432,59000,9620
1784862981509018465,add,sell,653296,90,9621
1784862981509149191,cancel,sell,653298,0,9609
1784862981509149191,cancel,sell,653432,0,9620
1784862981509149191,add,sell,653432,59000,9622
1784862981509198874,cancel,sell,653297,0,9615
1784862981509198874,cancel,sell,653433,0,9601
1784862981509198874,add,sell,653433,367,9623
1784862981509198874,add,sell,653299,30591,9624
1784862981512328569,cancel,sell,653381,0,9613
1784862981512328569,cancel,sell,653433,0,9623
1784862981512328569,add,sell,653433,367,9625
1784862981512448668,cancel,sell,653296,0,9621
1784862981512448668,cancel,sell,653457,0,9607
1784862981512448668,add,sell,653457,20739,9626
1784862981512448668,add,sell,653298,90,9627
1784862981537690629,cancel,buy,653210,0,9597
1784862981537690629,cancel,buy,653118,0,9611
1784862981537690629,add,buy,653118,100000,9628
1784862981537690629,add,buy,653220,30591,9629
1784862981561386031,add,buy,653244,1531,9630
1784862981612345890,cancel,sell,653387,0,9176
1784862981612345890,add,sell,653387,111530,9631
1784862981622917074,add,sell,653370,720151,9632
1784862981625606536,cancel,sell,653343,0,9598
1784862981625606536,cancel,sell,653433,0,9625
1784862981625606536,add,sell,653433,367,9633
1784862981631811729,add,sell,653368,765267,9634
1784862981631967771,cancel,sell,653428,0,7664
1784862981631967771,add,sell,653428,765196,9635
1784862981632205774,cancel,buy,653233,0,9594
1784862981632205774,add,buy,653233,765577,9636
1784862981632295380,cancel,buy,653233,0,9636
