ts,equity
1784869633469010636,-829590
1784869633624911212,-829590
1784869633941244019,-829590
1784869634614453282,-829590
1784869635005823993,-829590
1784869636555192181,-829590
1784869637042476118,-829590
1784869637384215539,-829590
1784869637417409641,-829590
1784869637444091764,-829590
1784869637493411610,-829590
1784869637568636772,-829590
1784869637748008848,-829590
1784869637802406099,-829590
1784869637892970264,-829590
1784869638027762975,-829590
1784869638126483052,-829590
1784869638284214499,-829590
1784869638402905849,-829590
1784869638417116191,-829590
1784869638433744525,-829590
1784869638443616149,-829590
1784869638465592626,-829590
1784869638488352259,-829590
1784869638525585728,-829590
1784869638584465746,-829590
1784869638753524298,-829591
1784869638907466164,-829591
1784869638950001609,-829591
1784869638956590629,-829591
1784869638967223869,-829591
1784869638989228850,-829591
1784869639049703049,-829591
1784869639162571487,-829591
1784869639357027302,-829591
1784869639704516834,-829591
1784869639946641218,-829591
1784869639955718548,-829591
1784869640079581456,-829591
1784869640139518533,-829591
1784869640250683011,-829591
1784869640882784543,-829591
1784869641852629986,-829591
1784869642763767363,-829591
1784869642770176498,-844274
1784869642774214014,-829743
1784869642778541452,-837677
1784869642786552389,-837457
1784869642791104697,-829864
1784869642798977178,-836894
1784869642910482135,-843529
1784869643080077182,-843544
1784869643138567941,-843561
1784869643144368843,-843505
1784869643223826692,-843514
1784869643248938876,-843049
1784869643260461347,-835516
1784869643269428491,-835323
1784869643291891980,-835244
1784869643410855504,-835253
1784869643837245865,-835261
1784869644101766813,-835268
1784869644400269045,-835276
1784869644686546386,-835284
1784869644960633353,-835292
1784869646512279202,-835300
1784869647167389810,-835308
1784869647225169634,-835315
1784869647252475925,-835322
1784869647328006943,-835331
1784869647370964039,-835340
1784869647440196190,-835340
1784869647474689858,-835340
1784869647517503781,-835340
1784869647571240733,-835340
1784869647646319681,-835340
1784869647811601820,-835340
1784869647837403407,-835413
1784869647837761871,-835959
1784869647841886647,-835959
1784869647850253605,-835959
1784869648013980814,-835959
1784869648047504045,-835959
1784869648203335872,-835975
1784869648331363146,-835971
1784869648735021568,-835977
1784869649238679222,-835977
1784869649299715958,-835977
1784869649459298174,-835977
1784869649502081175,-835977
1784869649672743238,-835977
1784869649809706113,-835977
1784869650000019366,-835977
1784869650125487026,-835977
1784869650258843310,-835977
1784869650287948821,-835977
1784869650466672302,-835977
1784869650818652367,-835977
1784869651284774469,-835978
1784869651316271099,-835978
1784869651333926392,-835978
1784869651480670017,-835978
1784869651847798013,-835978
1784869652815888305,-835979
1784869652976080864,-835981
1784869653138977791,-835981
1784869653331894026,-835981
1784869653465967038,-835984
1784869653651370616,-835984
1784869653885517509,-835984
1784869654060509683,-835985
1784869654071354427,-835987
1784869654086366999,-835989
1784869654093177571,-835994
1784869654122308127,-835994
1784869654149346192,-835994
1784869654228386561,-835994
1784869654320491230,-835994
1784869654379336712,-835994
1784869654391114051,-835994
1784869654405206554,-843231
1784869654426005413,-851976
1784869654426271986,-855474
1784869654436414129,-855495
1784869654436522004,-855514
1784869654444685531,-855549
1784869654456952810,-855572
1784869654457134582,-860072
1784869654462353656,-876857
1784869654462506271,-888963
1784869654467333443,-905018
1784869654467479179,-905034
1784869654468614098,-905051
1784869654491057660,-905064
1784869654498615849,-905080
1784869654510713336,-905101
1784869654515013233,-914891
1784869654536642904,-914908
1784869654558612339,-935506
1784869654597293037,-936977
1784869654641476056,-936994
1784869654723499092,-937010
1784869654754881942,-944140
1784869654876278624,-944148
1784869654901239378,-944403
1784869655662351053,-945628
1784869655994545606,-945637
1784869656094574629,-945645
1784869656283837407,-945653
1784869656579394859,-945661
1784869656754830315,-945668
1784869656933556012,-945675
1784869656933811076,-945684
1784869657231801915,-945693
1784869657438882726,-945701
1784869657454096753,-945708
1784869657465415245,-945717
1784869657479257536,-945724
1784869657545896738,-945731
1784869657569956737,-945739
1784869657846812398,-945749
1784869657933361186,-945757
1784869658137087099,-945764
1784869658534986396,-945772
1784869659072864002,-945781
1784869659158102138,-945789
1784869660289963206,-945797
1784869661192749137,-945805
1784869661237504175,-945813
1784869661573586834,-945821
1784869661595784128,-945829
1784869661643574244,-945837
1784869661891017125,-945845
1784869662146723826,-945853
1784869662536350308,-945861
1784869663134337951,-945866
1784869663147587239,-945866
1784869663150455399,-945866
1784869663201496190,-945866
1784869663321088492,-945866
1784869663438829989,-945866
1784869663938663684,-945866
1784869664073657394,-945866
1784869664108722814,-945866
1784869664125022263,-945868
1784869664244894163,-945882
1784869665539712771,-945882
1784869665578668019,-945883
1784869666937910835,-945883
1784869668222232781,-945883
1784869668702219251,-945883
1784869668881884853,-945884
1784869668889003187,-945912
1784869668889188167,-945926
1784869668892085420,-945938
1784869668895694925,-945938
1784869668899229236,-945938
1784869668901286610,-945938
1784869668904325047,-945938
1784869668908597926,-945938
1784869668916629151,-945938
1784869668924218249,-945938
1784869668929162415,-945938
1784869668943207114,-945940
1784869669025319417,-945950
1784869669052472310,-945964
1784869669057046258,-945980
1784869669137309857,-945975
1784869669198809127,-945998
1784869669221447943,-946022
1784869669315606057,-946045
1784869669389471264,-946048
1784869669438869242,-946050
1784869669445690452,-946051
1784869669455674893,-946058
1784869669468753346,-946058
1784869669478698778,-946058
1784869669491174737,-946072
1784869669491501552,-946078
1784869669516910236,-946089
1784869669517398171,-946090
1784869669534356844,-946107
1784869669552630884,-946108
1784869669569688863,-946108
1784869669608962908,-946108
1784869669637112930,-946108
1784869669717070997,-946108
1784869669765614333,-946108
1784869670039344097,-946108
1784869670402246061,-946108
1784869670663177547,-946108
1784869670793745229,-946108
1784869670824918782,-946108
1784869670828760745,-946108
1784869670853791237,-946108
1784869670894267119,-946103
1784869671149659280,-946078
1784869671158688941,-946078
1784869671164746345,-946162
1784869671243864844,-946171
1784869671254146708,-946179
1784869671260234753,-946181
1784869671318176999,-946181
1784869671375862211,-946181
1784869671477229716,-946181
1784869671500367327,-946181
1784869671528996747,-946181
1784869671572315010,-946181
1784869671679244233,-946181
1784869671744550488,-946437
1784869671821490373,-946939
1784869671836732690,-946946
1784869671871876734,-946961
1784869671913445953,-946975
1784869671924729710,-946978
1784869671949606201,-947691
1784869671959629581,-947705
1784869671975289321,-948439
1784869671975456897,-948445
1784869671995603445,-948449
1784869672047436090,-948449
1784869672101569670,-948449
1784869672121365217,-948449
1784869672263093705,-948463
1784869672783080151,-948476
1784869672878981859,-948473
1784869672954526378,-948473
1784869673138960561,-948473
1784869673497167944,-948473
1784869673507152930,-948473
1784869673865628462,-948473
1784869674026365008,-948473
1784869674134661483,-948473
1784869674236658552,-948473
1784869674374712474,-948473
1784869674452693540,-948473
1784869674523389402,-948473
1784869674549309910,-948473
1784869674563571704,-948473
1784869674596463712,-948473
1784869674798452134,-948473
1784869674996947108,-948473
1784869676222733357,-948444
1784869676547936204,-948447
1784869676940179298,-948474
1784869676940589209,-948462
1784869676941006272,-948474
1784869676941556754,-948477
1784869676941956957,-948477
1784869676942596204,-948477
1784869676942794217,-948477
1784869676961619804,-948477
1784869677023677587,-948477
1784869677086829725,-948477
1784869677220988273,-948477
1784869677389714010,-948477
1784869677583811464,-948477
1784869678115513167,-948477
1784869678514421850,-948477
1784869678536607908,-948477
1784869680024468150,-948479
1784869682779529208,-948480
1784869685868179344,-948480
1784869685888752497,-948480
1784869685923384244,-948480
1784869686144457663,-948480
1784869686685005770,-948480
1784869686716712148,-948480
1784869686739778178,-948480
1784869686740261568,-948480
1784869686746777279,-948485
1784869686766468794,-948494
1784869686775377816,-948498
1784869686790762887,-948498
1784869686805873396,-948498
1784869686939175750,-948498
1784869686966214445,-948498
1784869686966636306,-948498
1784869686966963819,-948498
1784869686967268774,-948498
1784869686968061370,-948498
1784869686979252922,-948498
1784869687061718268,-948498
1784869687178116742,-948498
1784869687231723538,-948498
1784869687495258329,-948486
1784869687508766237,-949917
1784869687523821561,-950406
1784869687537027745,-950068
1784869687545799765,-950076
1784869687556038520,-949987
1784869687685791643,-950003
1784869688060023580,-950019
1784869688157279306,-949085
1784869688182438281,-949091
1784869688301083134,-949101
1784869688385754379,-949108
1784869688402498806,-949759
1784869688587391611,-949178
1784869688603390769,-949843
1784869688762876220,-951536
1784869688882907188,-951480
1784869688892127061,-950373
1784869688980351827,-950380
1784869689193418126,-950380
1784869689302116849,-950381
1784869689423870377,-950381
1784869689574434612,-950381
1784869690859390964,-950381
1784869691035778380,-950381
1784869691882691540,-950381
1784869692693531998,-950381
1784869693591788766,-950381
1784869694104626432,-950381
1784869694386759632,-950381
1784869694400370352,-950381
1784869694417604920,-950381
1784869694434507315,-950381
1784869694460184076,-950381
1784869694489169365,-950381
1784869694511264865,-950381
1784869694546969889,-950381
1784869694621678909,-950381
1784869694665691770,-950381
1784869694705076027,-950381
1784869694712879957,-950381
1784869694742146464,-950381
1784869694773459026,-950381
1784869694842859031,-950381
1784869694982480406,-950381
1784869695790988416,-950381
1784869697158991587,-950378
1784869698723044991,-950378
1784869698773679353,-950378
1784869698838927977,-950378
1784869698883816466,-950378
1784869699416735031,-950378
1784869700344846099,-950378
1784869701425147195,-950378
1784869703091865100,-950380
1784869703832723629,-950380
1784869703901172776,-950380
1784869704502180769,-950380
1784869705020004797,-950380
1784869705942014641,-950380
1784869708685951225,-950380
1784869708703711709,-950380
1784869708710670422,-950380
1784869708738864309,-950380
1784869708800275996,-950380
1784869708856010003,-950380
1784869709106935252,-950380
1784869709145061898,-950380
1784869709229604504,-950380
1784869709599674478,-950380
1784869709770712218,-950380
1784869710086275846,-950380
1784869710331762136,-950380
1784869710763238811,-950380
1784869711034121713,-950380
1784869711141471066,-950379
1784869711893353618,-950378
1784869712584283619,-950378
1784869712873718407,-950360
1784869712878543727,-966837
1784869712881457733,-968712
1784869712886257324,-975798
1784869712887592207,-974630
1784869712891641438,-975854
1784869712897684716,-975854
1784869712901006846,-976202
1784869712906925923,-976202
1784869712992395854,-976202
1784869713066300612,-976165
1784869713195868366,-974655
1784869713383865993,-974664
1784869713733245733,-976009
1784869713832682454,-976904
1784869713999390736,-976904
1784869714094535297,-977054
1784869714662939072,-977054
1784869714881094287,-986896
1784869714895147917,-987608
1784869716932591866,-990008
1784869716932831830,-991119
1784869716933070297,-991282
1784869716933269811,-991312
1784869716933536019,-991347
1784869716969498628,-991379
1784869717042428743,-991413
1784869717091712560,-993027
1784869717232774707,-998133
1784869717358154914,-998982
1784869717374113286,-999010
1784869717414107425,-999047
1784869717414464574,-1.00113e+06
1784869717425334470,-1.00174e+06
1784869717455033233,-1.00178e+06
1784869717477441536,-1.00182e+06
1784869717502178814,-1.00186e+06
1784869717532904715,-1.0019e+06
1784869717695214080,-1.00194e+06
1784869717835536323,-1.00198e+06
1784869718028085853,-1.00196e+06
1784869718493147319,-1.002e+06
1784869718894295507,-1.00204e+06
1784869719513096871,-1.00208e+06
1784869721200116130,-1.00213e+06
1784869721882934170,-1.00219e+06
1784869723030291958,-1.00224e+06
1784869723251655496,-1.00227e+06
1784869723285115270,-1.00229e+06
1784869723323433165,-1.00233e+06
1784869723371109762,-1.00232e+06
1784869723423169745,-1.00232e+06
1784869723480336567,-1.00232e+06
1784869723538830882,-1.00232e+06
1784869723544049571,-1.00232e+06
1784869723575710154,-1.00232e+06
1784869723595593963,-1.00232e+06
1784869723656159253,-1.00232e+06
1784869723656326994,-1.00232e+06
1784869723662540384,-1.00232e+06
1784869723693488656,-1.00232e+06
1784869723705369596,-1.00232e+06
1784869723705552736,-1.00232e+06
1784869723711015931,-1.00232e+06
1784869723719792617,-1.00232e+06
1784869723734756749,-1.00232e+06
1784869723752788353,-1.00232e+06
1784869723839247820,-1.00232e+06
1784869724112017469,-1.00232e+06
1784869725118925571,-1.00232e+06
1784869726113208688,-1.00232e+06
1784869726440013465,-1.00233e+06
1784869726932555914,-1.00233e+06
1784869726932925839,-1.00233e+06
1784869726981628613,-1.00233e+06
1784869727343080351,-1.00233e+06
1784869727361026027,-1.00233e+06
1784869728044161207,-1.00233e+06
1784869729157977345,-1.00234e+06
1784869729520135479,-1.00234e+06
1784869729744579990,-1.00236e+06
1784869730134971905,-1.0024e+06
1784869730224156945,-1.00242e+06
1784869730370783016,-1.00242e+06
1784869730695835397,-1.00242e+06
1784869730743121545,-1.00242e+06
1784869730882594583,-1.00242e+06
1784869731038816922,-1.00242e+06
1784869731314473666,-1.00242e+06
1784869731434944930,-1.00242e+06
1784869731580525459,-1.00242e+06
1784869731682975866,-1.00242e+06
1784869732063119610,-1.00242e+06
1784869732381674372,-1.00242e+06
1784869732395454107,-1.00242e+06
1784869732456612277,-1.00242e+06
1784869732485510055,-1.00242e+06
1784869732503676996,-1.00242e+06
1784869732536585556,-1.00242e+06
1784869732550779065,-1.00242e+06
1784869732611092053,-1.00242e+06
1784869732649224818,-1.00242e+06
1784869732749833158,-1.00242e+06
1784869732842764509,-1.00242e+06
1784869733425409747,-1.00242e+06
1784869733698507549,-1.00242e+06
1784869734005125401,-1.00242e+06
1784869734178310854,-1.00242e+06
1784869734356464341,-1.00242e+06
1784869734637533330,-1.00242e+06
1784869734793123222,-1.00242e+06
1784869735257319174,-1.00242e+06
1784869735660911438,-1.00242e+06
1784869736203554563,-1.00242e+06
1784869736663833499,-1.00242e+06
1784869738572453317,-1.00242e+06
1784869739107760362,-1.00242e+06
1784869741299270174,-1.00242e+06
1784869743799939865,-1.00242e+06
1784869744015646630,-1.00243e+06
1784869744030683821,-1.00243e+06
1784869744120001559,-1.00243e+06
1784869744226194912,-1.00243e+06
1784869744394727604,-1.00243e+06
1784869744636336748,-1.00243e+06
1784869745110136040,-1.00243e+06
1784869745248177189,-1.00243e+06
1784869745497234608,-1.00243e+06
1784869745955043843,-1.00243e+06
1784869746082335085,-1.00243e+06
1784869746169723195,-1.00243e+06
1784869746421051454,-1.00243e+06
1784869746936751921,-1.00243e+06
1784869746936885579,-1.00243e+06
1784869747214937869,-1.00243e+06
1784869748721573264,-1.00243e+06
1784869749096490559,-1.00243e+06
1784869750427076520,-1.00243e+06
1784869751482239261,-1.00243e+06
1784869753351755175,-1.00243e+06
1784869754056212523,-1.00243e+06
1784869754095465197,-1.00243e+06
1784869754104509663,-1.00244e+06
1784869754121524186,-1.00244e+06
1784869754136250328,-1.00244e+06
1784869754162818772,-1.00244e+06
1784869754172411315,-1.00244e+06
1784869754199390771,-1.00244e+06
1784869754246565886,-1.00244e+06
1784869754582447481,-1.00244e+06
1784869754683231451,-1.00244e+06
1784869755141330338,-1.00244e+06
1784869755599533445,-1.00244e+06
1784869755768568510,-1.00244e+06
1784869756103507820,-1.00243e+06
1784869756113391899,-1.00286e+06
1784869756125414862,-1.00867e+06
1784869756132322815,-1.00829e+06
1784869756139767035,-1.00305e+06
1784869756152869017,-1.01705e+06
1784869756250929277,-1.01664e+06
1784869756394283762,-1.01624e+06
1784869756494915508,-1.01625e+06
1784869756777490476,-1.01627e+06
1784869756934004820,-1.01628e+06
1784869756946975415,-1.0144e+06
1784869757021535337,-1.01432e+06
1784869757162640275,-1.01414e+06
1784869757392411105,-1.00456e+06
1784869757401957206,-1.01402e+06
1784869757426745793,-1.01513e+06
1784869757432107642,-1.01515e+06
1784869757462321688,-1.01421e+06
1784869757469872948,-1.01368e+06
1784869757475970469,-1.01284e+06
1784869757482919293,-1.01341e+06
1784869757490826917,-1.01278e+06
1784869757505928622,-1.01243e+06
1784869757550443247,-1.01254e+06
1784869757605498353,-1.01161e+06
1784869757704861114,-1.01162e+06
1784869757788556361,-1.01162e+06
1784869758127796406,-1.01162e+06
1784869758294346213,-1.01162e+06
1784869758504047319,-1.01162e+06
1784869759037184588,-1.01162e+06
1784869759272579304,-1.01162e+06
1784869759622361177,-1.01162e+06
1784869760043039643,-1.01162e+06
1784869760504198821,-1.01162e+06
1784869760556774612,-1.01162e+06
1784869761804382239,-1.01162e+06
1784869761867900275,-1.01162e+06
1784869761899230791,-1.01162e+06
1784869762004190243,-1.01162e+06
1784869762203075419,-1.01162e+06
1784869763102164900,-1.01162e+06
1784869763711413791,-1.01162e+06
1784869763796582641,-1.01162e+06
1784869763853472253,-1.01162e+06
1784869764399048495,-1.01162e+06
1784869764886448261,-1.01162e+06
1784869765430294505,-1.01162e+06
1784869765441889066,-1.01162e+06
1784869765911437946,-1.01162e+06
1784869766933781202,-1.01162e+06
1784869767312386498,-1.01162e+06
1784869768796501341,-1.01162e+06
1784869768969498271,-1.01162e+06
1784869769515793325,-1.01162e+06
1784869770954736460,-1.01162e+06
1784869771216234046,-1.01166e+06
1784869772187336946,-1.01167e+06
1784869772804189380,-1.01167e+06
1784869772818302005,-1.01167e+06
1784869772821181552,-1.01167e+06
1784869772828827102,-1.01167e+06
1784869772840292378,-1.01167e+06
1784869772866333259,-1.01167e+06
1784869772906679498,-1.01167e+06
1784869772974737340,-1.01167e+06
1784869773398340950,-1.01167e+06
1784869773836134783,-1.01167e+06
1784869774155893469,-1.01167e+06
1784869774890886955,-1.01165e+06
1784869775611836256,-1.01167e+06
1784869775636028969,-1.01167e+06
1784869775794308158,-1.01167e+06
1784869775827992206,-1.01167e+06
1784869775868215670,-1.01167e+06
1784869775896836819,-1.01167e+06
1784869775946387117,-1.01167e+06
1784869775976844590,-1.01167e+06
1784869776115448333,-1.01167e+06
1784869776377343679,-1.01167e+06
1784869776676351804,-1.01167e+06
1784869776689929413,-1.01167e+06
1784869776725679004,-1.01167e+06
1784869777007424663,-1.01167e+06
1784869777177514311,-1.01167e+06
1784869777690679191,-1.01167e+06
1784869779150362047,-1.01167e+06
1784869781124436043,-1.01167e+06
1784869782718366135,-1.01167e+06
1784869783326993615,-1.01167e+06
1784869784697483436,-1.01167e+06
1784869784951737790,-1.01167e+06
1784869784963821757,-1.01167e+06
1784869784983840640,-1.01167e+06
1784869785132324399,-1.01167e+06
1784869785343499608,-1.01167e+06
1784869786038954976,-1.01167e+06
1784869786201006871,-1.01167e+06
1784869787040038881,-1.01168e+06
1784869787767515883,-1.01168e+06
1784869789312920161,-1.01168e+06
1784869790165319627,-1.01168e+06
1784869790716522207,-1.01169e+06
1784869791942699409,-1.01169e+06
1784869791993412562,-1.01169e+06
1784869792012829523,-1.01169e+06
1784869792053875095,-1.01169e+06
1784869792064458395,-1.01169e+06
1784869792217949875,-1.01169e+06
1784869792621466897,-1.01169e+06
1784869793461045183,-1.01169e+06
1784869794047890752,-1.01169e+06
1784869795020106339,-1.01169e+06
1784869795882969554,-1.01169e+06
1784869796664359768,-1.01169e+06
1784869797157738936,-1.01169e+06
1784869797246953985,-1.01169e+06
1784869797881659268,-1.01169e+06
1784869798085652127,-1.01169e+06
1784869798593995895,-1.01169e+06
1784869798620427537,-1.01169e+06
1784869798654668717,-1.01169e+06
1784869798670117754,-1.01169e+06
1784869798835621333,-1.01169e+06
1784869799051144622,-1.01169e+06
1784869799129827601,-1.01169e+06
1784869799924732691,-1.01169e+06
1784869800034239071,-1.01169e+06
1784869800301542245,-1.01169e+06
1784869800512791304,-1.01169e+06
1784869801615275020,-1.01169e+06
1784869801955117904,-1.01169e+06
1784869802035441337,-1.01169e+06
1784869802103846951,-1.01169e+06
1784869802207148053,-1.01169e+06
1784869803107756232,-1.01169e+06
1784869804013211643,-1.01169e+06
1784869804998315852,-1.01169e+06
1784869805444234723,-1.01169e+06
1784869805730942335,-1.01169e+06
1784869805742973118,-1.01169e+06
1784869805802404871,-1.01169e+06
1784869806177992495,-1.01169e+06
1784869807804773026,-1.01169e+06
1784869808078134550,-1.01169e+06
